epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,218.875,0.50732,0.91931,0.89419,0.86772,0.9596,0.96728,0.83115,0.87976,0.83599,1.15414,0.000540037,0.000540037,0.000540037
43,223.778,0.55835,0.95044,0.92091,0.85323,0.98413,0.96807,0.82226,0.84835,0.71866,1.12638,0.000531038,0.000531038,0.000531038
44,228.641,0.48273,0.82247,0.87177,0.88573,0.96166,0.93935,0.79191,0.83484,0.68519,1.11966,0.000522039,0.000522039,0.000522039
45,233.936,0.51459,0.8839,0.90577,0.86833,0.97886,0.94827,0.80292,0.84459,0.6777,1.1225,0.00051304,0.00051304,0.00051304
46,239.107,0.53028,0.834,0.89617,0.87268,0.98214,0.96854,0.8376,0.83808,0.67095,1.13374,0.00050404,0.00050404,0.00050404
47,244.207,0.50292,0.81734,0.88728,0.86168,0.97245,0.94469,0.79269,0.90254,0.73812,1.14756,0.000495041,0.000495041,0.000495041
48,249.052,0.48277,0.75956,0.87608,0.86531,0.97686,0.92748,0.77206,0.91078,0.80225,1.15305,0.000486042,0.000486042,0.000486042
49,253.933,0.65801,0.89528,0.96714,0.85995,0.96809,0.93224,0.78064,0.88943,0.76767,1.13366,0.000477043,0.000477043,0.000477043
50,258.831,0.47981,0.82859,0.88645,0.86693,0.95852,0.92676,0.77616,0.86369,0.79403,1.11695,0.000468044,0.000468044,0.000468044
51,263.582,0.73641,0.92672,0.98981,0.83305,0.98883,0.92748,0.78351,0.86065,0.77385,1.131,0.000459045,0.000459045,0.000459045
52,268.433,0.4701,0.74492,0.87415,0.89473,0.93381,0.92237,0.77334,0.83546,0.76878,1.10311,0.000450046,0.000450046,0.000450046
53,273.38,0.45451,0.77345,0.87467,0.84441,0.99161,0.93306,0.79288,0.85917,0.70511,1.11636,0.000441047,0.000441047,0.000441047
54,278.141,0.43569,0.72618,0.88155,0.87599,0.98492,0.93387,0.79089,0.86021,0.74658,1.10623,0.000432048,0.000432048,0.000432048
55,282.957,0.47916,0.76151,0.87875,0.86879,0.99494,0.9354,0.79222,0.82791,0.76962,1.10545,0.000423049,0.000423049,0.000423049
56,287.791,0.41661,0.97265,0.79179,0.8745,0.99589,0.94585,0.79348,0.86471,0.7663,1.15124,0.000414049,0.000414049,0.000414049
57,292.779,0.52332,0.93414,0.89217,0.88843,0.97128,0.96252,0.80975,0.87781,0.76976,1.16342,0.00040505,0.00040505,0.00040505
58,297.783,0.49462,0.74301,0.86519,0.87698,0.98787,0.96252,0.8324,0.84886,0.79923,1.12872,0.000396051,0.000396051,0.000396051
59,302.643,0.4443,0.74026,0.86285,0.86831,0.98905,0.93633,0.7889,0.8671,0.79976,1.10541,0.000387052,0.000387052,0.000387052
60,307.48,0.53289,1.03069,0.88,0.85408,0.99102,0.94109,0.79737,0.86214,0.7525,1.1199,0.000378053,0.000378053,0.000378053
61,312.363,0.48895,0.7463,0.90456,0.88191,0.95768,0.93956,0.78184,0.87083,0.70761,1.15099,0.000369054,0.000369054,0.000369054
62,317.18,0.45224,0.70306,0.87968,0.87787,0.97498,0.94585,0.80634,0.88192,0.66917,1.17996,0.000360055,0.000360055,0.000360055
63,322.009,0.46766,0.6816,0.86671,0.86691,1,0.94786,0.81626,0.87254,0.67859,1.17787,0.000351056,0.000351056,0.000351056
64,326.936,0.43843,0.70254,0.86752,0.82901,0.99564,0.95143,0.81569,0.85528,0.6789,1.15504,0.000342057,0.000342057,0.000342057
65,331.852,0.44653,0.67211,0.86877,0.8842,0.94266,0.94098,0.80861,0.84374,0.69772,1.14864,0.000333058,0.000333058,0.000333058
66,336.755,0.44985,0.67792,0.86706,0.88401,0.96252,0.93146,0.78743,0.86004,0.73132,1.16391,0.000324058,0.000324058,0.000324058
67,341.906,0.38555,0.8792,0.79029,0.8812,0.97436,0.96333,0.8114,0.8991,0.75168,1.17381,0.000315059,0.000315059,0.000315059
